"variable" "activity" "subject" "avg_mean" "avg_std"
"fBodyAcc-X" "STANDING" 8 -0.99818021 -0.99863071
"fBodyAcc-X" "STANDING" 9 -0.9772928 -0.98255544
"fBodyAcc-X" "STANDING" 10 -0.95651737 -0.97058665
"fBodyAcc-X" "STANDING" 11 -0.99111542 -0.99356475
"fBodyAcc-X" "STANDING" 12 -0.95087961 -0.97185554
"fBodyAcc-X" "STANDING" 13 -0.98571334 -0.99048714
"fBodyAcc-X" "STANDING" 14 -0.99170968 -0.99332076
"fBodyAcc-X" "STANDING" 15 -0.99464383 -0.99649493
"fBodyAcc-X" "STANDING" 16 -0.99651156 -0.99696525
"fBodyAcc-X" "STANDING" 17 -0.99599919 -0.99621506
"fBodyAcc-X" "STANDING" 18 -0.98439661 -0.98772245
"fBodyAcc-X" "STANDING" 19 -0.99494126 -0.99651359
"fBodyAcc-X" "STANDING" 20 -0.97033752 -0.9743559
"fBodyAcc-X" "STANDING" 21 -0.9474993 -0.95437046
"fBodyAcc-X" "STANDING" 22 -0.98459855 -0.99143831
"fBodyAcc-X" "STANDING" 23 -0.9800256 -0.97818648
"fBodyAcc-X" "STANDING" 24 -0.991685 -0.99276775
"fBodyAcc-X" "STANDING" 25 -0.99487749 -0.99706151
"fBodyAcc-X" "STANDING" 26 -0.97732584 -0.98725126
"fBodyAcc-X" "STANDING" 27 -0.99358093 -0.99639087
"fBodyAcc-X" "STANDING" 28 -0.97592636 -0.98303913
"fBodyAcc-X" "STANDING" 29 -0.99490116 -0.99614044
"fBodyAcc-X" "STANDING" 30 -0.98728395 -0.99203664
"fBodyAcc-X" "WALKING" 1 -0.45343632 -0.44047046
"fBodyAcc-X" "WALKING" 2 -0.34403325 -0.42272055
"fBodyAcc-X" "WALKING" 3 -0.36781609 -0.38078761
"fBodyAcc-X" "WALKING" 4 -0.4069233 -0.41523891
"fBodyAcc-X" "WALKING" 5 -0.29953358 -0.4231629
"fBodyAcc-X" "WALKING" 6 -0.15971217 -0.43411112
"fBodyAcc-X" "WALKING" 7 -0.42099219 -0.45070552
"fBodyAcc-X" "WALKING" 8 -0.31784599 -0.24181666
"fBodyAcc-X" "WALKING" 9 -0.19903117 -0.20397438
"fBodyAcc-X" "WALKING" 10 -0.10069962 -0.16976192
"fBodyAcc-X" "WALKING" 11 -0.45077597 -0.4929604
"fBodyAcc-X" "WALKING" 12 -0.088047445 -0.2355616
"fBodyAcc-X" "WALKING" 13 -0.19209776 -0.30327637
"fBodyAcc-X" "WALKING" 14 -0.39950438 -0.40942327
"fBodyAcc-X" "WALKING" 15 -0.3603992 -0.35749082
"fBodyAcc-X" "WALKING" 16 -0.46842067 -0.54411779
"fBodyAcc-X" "WALKING" 17 -0.38701124 -0.35764133
"fBodyAcc-X" "WALKING" 18 -0.46637012 -0.51889966
"fBodyAcc-X" "WALKING" 19 0.19165732 0.0049102654
"fBodyAcc-X" "WALKING" 20 -0.061790094 -0.19944368
"fBodyAcc-X" "WALKING" 21 -0.12377493 -0.091104717
"fBodyAcc-X" "WALKING" 22 -0.069800312 0.087129333
"fBodyAcc-X" "WALKING" 23 -0.18704527 -0.29238747
"fBodyAcc-X" "WALKING" 24 -0.57485555 -0.54780149
"fBodyAcc-X" "WALKING" 25 -0.60695991 -0.61807794
"fBodyAcc-X" "WALKING" 26 -0.28121195 -0.24934022
"fBodyAcc-X" "WALKING" 27 -0.38394378 -0.38651711
"fBodyAcc-X" "WALKING" 28 -0.48910643 -0.48726094
"fBodyAcc-X" "WALKING" 29 -0.048366994 -0.15375825
"fBodyAcc-X" "WALKING" 30 -0.44265084 -0.39745097
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 1 0.1057069 0.25661766
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 2 -0.11794108 -0.16070482
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 3 -0.18253073 -0.36360027
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 4 0.023358437 0.29471504
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 5 -0.10100025 0.12704564
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 6 0.41542311 0.38584365
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 7 -0.01067369 0.10883918
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 8 0.14129246 -0.01140243
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 9 0.25459797 0.17069287
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 10 0.13604299 0.16157489
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 11 0.17613024 0.16725356
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 12 0.033810306 0.17286618
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 13 -0.12083694 -0.15102462
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 14 0.15870622 0.025410771
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 15 0.21851362 0.38962545
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 16 0.13596133 0.36917505
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 17 -0.20800341 0.27372276
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 18 -0.29205435 -0.26486254
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 19 0.54039661 0.50798063
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 20 -0.097734193 -0.041747189
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 21 0.16607858 0.17160648
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 22 0.16305681 0.2610769
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 23 0.25673034 0.049376501
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 24 -0.2249663 -0.13933457
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 25 -0.4549842 -0.21215489
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 26 -0.042810073 0.06954448
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 27 0.071436939 0.067017039
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 28 0.053097132 0.17162665
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 29 0.019481583 0.28184392
"fBodyAcc-X" "WALKING_DOWNSTAIRS" 30 -0.24036441 -0.24092212
"fBodyAcc-X" "WALKING_UPSTAIRS" 1 -0.24134953 -0.38856105
"fBodyAcc-X" "WALKING_UPSTAIRS" 2 -0.16474722 -0.27592645
"fBodyAcc-X" "WALKING_UPSTAIRS" 3 -0.57433202 -0.36507416
"fBodyAcc-X" "WALKING_UPSTAIRS" 4 -0.26955613 -0.10658061
"fBodyAcc-X" "WALKING_UPSTAIRS" 5 -0.23398919 -0.15627355
"fBodyAcc-X" "WALKING_UPSTAIRS" 6 0.034862971 0.010576882
"fBodyAcc-X" "WALKING_UPSTAIRS" 7 -0.42209682 -0.27313526
"fBodyAcc-X" "WALKING_UPSTAIRS" 8 0.0041694641 -0.069711835
"fBodyAcc-X" "WALKING_UPSTAIRS" 9 -0.27283513 -0.23236762
"fBodyAcc-X" "WALKING_UPSTAIRS" 10 -0.05534759 -0.069285252
"fBodyAcc-X" "WALKING_UPSTAIRS" 11 -0.37468156 -0.20124006
"fBodyAcc-X" "WALKING_UPSTAIRS" 12 -0.32461915 -0.20446438
"fBodyAcc-X" "WALKING_UPSTAIRS" 13 -0.3144682 -0.20070517
"fBodyAcc-X" "WALKING_UPSTAIRS" 14 -0.47860702 -0.38789332
"fBodyAcc-X" "WALKING_UPSTAIRS" 15 -0.067631045 -0.049965275
"fBodyAcc-X" "WALKING_UPSTAIRS" 16 -0.4446707 -0.30477489
"fBodyAcc-X" "WALKING_UPSTAIRS" 17 -0.080798746 0.032664396
"fBodyAcc-X" "WALKING_UPSTAIRS" 18 -0.49540863 -0.40477959
"fBodyAcc-X" "WALKING_UPSTAIRS" 19 -0.33178795 -0.099965887
"fBodyAcc-X" "WALKING_UPSTAIRS" 20 -0.2203851 0.027941932
"fBodyAcc-X" "WALKING_UPSTAIRS" 21 -0.29928554 -0.1904031
"fBodyAcc-X" "WALKING_UPSTAIRS" 22 -0.12465714 0.24596482
"fBodyAcc-X" "WALKING_UPSTAIRS" 23 -0.33976232 -0.38873392
"fBodyAcc-X" "WALKING_UPSTAIRS" 24 -0.40122263 -0.30385408
"fBodyAcc-X" "WALKING_UPSTAIRS" 25 -0.53175764 -0.41331144
"fBodyAcc-X" "WALKING_UPSTAIRS" 26 -0.24936514 -0.17572244
"fBodyAcc-X" "WALKING_UPSTAIRS" 27 -0.51543802 -0.32957275
"fBodyAcc-X" "WALKING_UPSTAIRS" 28 -0.22521169 -0.21078344
"fBodyAcc-X" "WALKING_UPSTAIRS" 29 -0.18205139 -0.14475288
"fBodyAcc-X" "WALKING_UPSTAIRS" 30 -0.26526204 -0.27079423
"fBodyAcc-Y" "LAYING" 1 -0.96654308 -0.94461158
"fBodyAcc-Y" "LAYING" 2 -0.98703306 -0.99155107
"fBodyAcc-Y" "LAYING" 3 -0.96412391 -0.96516266
"fBodyAcc-Y" "LAYING" 4 -0.98285708 -0.99021635
"fBodyAcc-Y" "LAYING" 5 -0.98221707 -0.98907548
"fBodyAcc-Y" "LAYING" 6 -0.97922572 -0.98502928
"fBodyAcc-Y" "LAYING" 7 -0.82541078 -0.73774887
"fBodyAcc-Y" "LAYING" 8 -0.96963443 -0.96443652
"fBodyAcc-Y" "LAYING" 9 -0.96492477 -0.95600006
"fBodyAcc-Y" "LAYING" 10 -0.99405562 -0.99506943
"fBodyAcc-Y" "LAYING" 11 -0.98830766 -0.99103712
"fBodyAcc-Y" "LAYING" 12 -0.98278933 -0.98639719
"fBodyAcc-Y" "LAYING" 13 -0.9811299 -0.95802245
"fBodyAcc-Y" "LAYING" 14 -0.44617534 -0.28527062
"fBodyAcc-Y" "LAYING" 15 -0.96658758 -0.97110221
"fBodyAcc-Y" "LAYING" 16 -0.96847944 -0.9420518
"fBodyAcc-Y" "LAYING" 17 -0.99132171 -0.98075467
"fBodyAcc-Y" "LAYING" 18 -0.98649651 -0.99071506
"fBodyAcc-Y" "LAYING" 19 -0.97726809 -0.98406112
"fBodyAcc-Y" "LAYING" 20 -0.98831105 -0.99014585
"fBodyAcc-Y" "LAYING" 21 -0.96147982 -0.95409614
"fBodyAcc-Y" "LAYING" 22 -0.98555924 -0.98664398
"fBodyAcc-Y" "LAYING" 23 -0.98935114 -0.99345601
"fBodyAcc-Y" "LAYING" 24 -0.9760165 -0.98793523
"fBodyAcc-Y" "LAYING" 25 -0.97595 -0.97884411
"fBodyAcc-Y" "LAYING" 26 -0.98796455 -0.99182379
"fBodyAcc-Y" "LAYING" 27 -0.98650372 -0.98749051
"fBodyAcc-Y" "LAYING" 28 -0.98530543 -0.97416428
"fBodyAcc-Y" "LAYING" 29 -0.99241434 -0.99510951
"fBodyAcc-Y" "LAYING" 30 -0.95372519 -0.9357488
"fBodyAcc-Y" "SITTING" 1 -0.98963263 -0.99564904
"fBodyAcc-Y" "SITTING" 2 -0.97933822 -0.98284971
"fBodyAcc-Y" "SITTING" 3 -0.95337338 -0.95519
"fBodyAcc-Y" "SITTING" 4 -0.96001113 -0.9750376
"fBodyAcc-Y" "SITTING" 5 -0.97814338 -0.98523374
"fBodyAcc-Y" "SITTING" 6 -0.94852559 -0.94385609
"fBodyAcc-Y" "SITTING" 7 -0.99243737 -0.99078912
"fBodyAcc-Y" "SITTING" 8 -0.93251078 -0.94942936
"fBodyAcc-Y" "SITTING" 9 -0.72611836 -0.60986263
"fBodyAcc-Y" "SITTING" 10 -0.98900448 -0.98919655
"fBodyAcc-Y" "SITTING" 11 -0.90100734 -0.91207258
"fBodyAcc-Y" "SITTING" 12 -0.96280269 -0.95878214
"fBodyAcc-Y" "SITTING" 13 -0.97278241 -0.94909812
"fBodyAcc-Y" "SITTING" 14 -0.98744315 -0.99016058
"fBodyAcc-Y" "SITTING" 15 -0.969749 -0.95626029
"fBodyAcc-Y" "SITTING" 16 -0.98299815 -0.98235901
"fBodyAcc-Y" "SITTING" 17 -0.98343877 -0.97699948
"fBodyAcc-Y" "SITTING" 18 -0.99064304 -0.99282352
"fBodyAcc-Y" "SITTING" 19 -0.9931198 -0.9936733
"fBodyAcc-Y" "SITTING" 20 -0.96530786 -0.96060627
"fBodyAcc-Y" "SITTING" 21 -0.98909274 -0.99412801
"fBodyAcc-Y" "SITTING" 22 -0.98088548 -0.98496114
"fBodyAcc-Y" "SITTING" 23 -0.94630741 -0.93962778
"fBodyAcc-Y" "SITTING" 24 -0.9797446 -0.97640372
"fBodyAcc-Y" "SITTING" 25 -0.27726834 0.10613074
"fBodyAcc-Y" "SITTING" 26 -0.8851873 -0.85947451
"fBodyAcc-Y" "SITTING" 27 -0.99263428 -0.99642494
"fBodyAcc-Y" "SITTING" 28 -0.8715963 -0.79628984
"fBodyAcc-Y" "SITTING" 29 -0.81383851 -0.73243914
"fBodyAcc-Y" "SITTING" 30 -0.98643165 -0.99025077
"fBodyAcc-Y" "STANDING" 1 -0.98214212 -0.98993371
"fBodyAcc-Y" "STANDING" 2 -0.98142147 -0.98291839
"fBodyAcc-Y" "STANDING" 3 -0.76557067 -0.56859215
"fBodyAcc-Y" "STANDING" 4 -0.94679396 -0.92452284
"fBodyAcc-Y" "STANDING" 5 -0.86194884 -0.82164971
"fBodyAcc-Y" "STANDING" 6 -0.95131846 -0.95556254
"fBodyAcc-Y" "STANDING" 7 -0.94490282 -0.93817274
"fBodyAcc-Y" "STANDING" 8 -0.98396737 -0.99142947
"fBodyAcc-Y" "STANDING" 9 -0.92503703 -0.88785939
"fBodyAcc-Y" "STANDING" 10 -0.89233941 -0.89190069
"fBodyAcc-Y" "STANDING" 11 -0.95129168 -0.94937999
"fBodyAcc-Y" "STANDING" 12 -0.87487646 -0.88839962
"fBodyAcc-Y" "STANDING" 13 -0.93792805 -0.93752308
"fBodyAcc-Y" "STANDING" 14 -0.98359761 -0.98607699
"fBodyAcc-Y" "STANDING" 15 -0.9457247 -0.92889164
"fBodyAcc-Y" "STANDING" 16 -0.99256107 -0.99505381
"fBodyAcc-Y" "STANDING" 17 -0.98532463 -0.97835559
"fBodyAcc-Y" "STANDING" 18 -0.95115208 -0.95009217
"fBodyAcc-Y" "STANDING" 19 -0.98286302 -0.97931353
"fBodyAcc-Y" "STANDING" 20 -0.89154979 -0.86329716
"fBodyAcc-Y" "STANDING" 21 -0.82084477 -0.76719198
"fBodyAcc-Y" "STANDING" 22 -0.92370298 -0.92847631
"fBodyAcc-Y" "STANDING" 23 -0.94773361 -0.92866777
"fBodyAcc-Y" "STANDING" 24 -0.9793659 -0.97789537
"fBodyAcc-Y" "STANDING" 25 -0.97677976 -0.97704036
"fBodyAcc-Y" "STANDING" 26 -0.96336651 -0.975629
"fBodyAcc-Y" "STANDING" 27 -0.97547168 -0.94876035
"fBodyAcc-Y" "STANDING" 28 -0.87629221 -0.87034551
"fBodyAcc-Y" "STANDING" 29 -0.96225598 -0.95116223
"fBodyAcc-Y" "STANDING" 30 -0.82842876 -0.76266381
"fBodyAcc-Y" "WALKING" 1 -0.16950503 0.014638399
"fBodyAcc-Y" "WALKING" 2 -0.10515758 -0.2104984
"fBodyAcc-Y" "WALKING" 3 -0.16463929 -0.037102462
"fBodyAcc-Y" "WALKING" 4 0.04072292 0.16319859
"fBodyAcc-Y" "WALKING" 5 0.24885032 0.12500512
"fBodyAcc-Y" "WALKING" 6 0.04458174 -0.062440589
"fBodyAcc-Y" "WALKING" 7 -0.29153157 -0.39447658
"fBodyAcc-Y" "WALKING" 8 0.34870247 0.27694678
"fBodyAcc-Y" "WALKING" 9 -0.31518542 -0.27709011
"fBodyAcc-Y" "WALKING" 10 0.15203489 -0.066659911
"fBodyAcc-Y" "WALKING" 11 -0.16096671 -0.10902416
"fBodyAcc-Y" "WALKING" 12 -0.16522724 -0.31780268
"fBodyAcc-Y" "WALKING" 13 0.26590312 0.27847461
"fBodyAcc-Y" "WALKING" 14 -0.21130769 -0.076661794
"fBodyAcc-Y" "WALKING" 15 0.06871178 -0.034714765
"fBodyAcc-Y" "WALKING" 16 -0.46835459 -0.46128123
"fBodyAcc-Y" "WALKING" 17 -0.043358098 0.017729151
"fBodyAcc-Y" "WALKING" 18 -0.25646986 -0.26251493
"fBodyAcc-Y" "WALKING" 19 0.31673606 0.19249828
"fBodyAcc-Y" "WALKING" 20 0.5583073 0.49697403
"fBodyAcc-Y" "WALKING" 21 0.054472178 0.064102719
"fBodyAcc-Y" "WALKING" 22 0.010296663 -0.11089339
"fBodyAcc-Y" "WALKING" 23 -0.10708152 -0.22320273
"fBodyAcc-Y" "WALKING" 24 -0.28825589 -0.26498917
"fBodyAcc-Y" "WALKING" 25 -0.25888956 -0.19252352
"fBodyAcc-Y" "WALKING" 26 -0.23837557 -0.21305579
"fBodyAcc-Y" "WALKING" 27 -0.037756365 -0.27984123
"fBodyAcc-Y" "WALKING" 28 -0.28563859 -0.29819074
"fBodyAcc-Y" "WALKING" 29 0.01832426 -0.098537962
"fBodyAcc-Y" "WALKING" 30 -0.33523423 -0.22346597
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 1 -0.041106221 0.088747053
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 2 0.067388359 -0.027534537
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 3 0.042526318 -0.21636409
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 4 0.22751957 0.0086367906
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 5 0.045589793 -0.077276014
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 6 0.55049957 0.20686879
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 7 -0.22526373 -0.21879137
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 8 0.60821489 0.60964341
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 9 -0.23394578 -0.30564517
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 10 0.068230867 0.0057299065
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 11 -0.098898506 -0.027844179
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 12 0.10011554 0.17311674
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 13 -0.026061708 -0.19547991
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 14 0.77581548 0.54788099
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 15 0.30788701 0.17300903
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 16 -0.023224808 -0.089665629
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 17 -0.020290292 0.063175534
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 18 -0.21655404 -0.22802342
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 19 0.49953422 0.39903085
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 20 0.32660631 0.21611147
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 21 0.06572934 0.18902074
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 22 0.30293959 0.11267064
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 23 0.22626125 -0.001406166
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 24 -0.081659987 -0.10808868
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 25 -0.21625525 -0.22647313
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 26 -0.10114208 -0.079533486
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 27 0.0059098138 -0.10180312
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 28 0.23376013 -0.074819969
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 29 -0.13206646 -0.4024533
"fBodyAcc-Y" "WALKING_DOWNSTAIRS" 30 -0.092039002 -0.39373086
"fBodyAcc-Y" "WALKING_UPSTAIRS" 1 -0.18116947 -0.21683052
"fBodyAcc-Y" "WALKING_UPSTAIRS" 2 -0.019725823 -0.0166755
"fBodyAcc-Y" "WALKING_UPSTAIRS" 3 -0.22742648 -0.10301127
"fBodyAcc-Y" "WALKING_UPSTAIRS" 4 0.048651356 -0.1029454
"fBodyAcc-Y" "WALKING_UPSTAIRS" 5 -0.11274983 0.025705488
"fBodyAcc-Y" "WALKING_UPSTAIRS" 6 0.26073443 0.21396726
"fBodyAcc-Y" "WALKING_UPSTAIRS" 7 -0.50903363 -0.45535744
"fBodyAcc-Y" "WALKING_UPSTAIRS" 8 0.18989327 0.22795229
"fBodyAcc-Y" "WALKING_UPSTAIRS" 9 -0.50843103 -0.54473329
"fBodyAcc-Y" "WALKING_UPSTAIRS" 10 0.076381482 0.09096221
"fBodyAcc-Y" "WALKING_UPSTAIRS" 11 -0.16251548 -0.04001682
"fBodyAcc-Y" "WALKING_UPSTAIRS" 12 0.091820644 0.034659919
"fBodyAcc-Y" "WALKING_UPSTAIRS" 13 -0.1891862 -0.058245746
"fBodyAcc-Y" "WALKING_UPSTAIRS" 14 -0.20814116 0.27972715
"fBodyAcc-Y" "WALKING_UPSTAIRS" 15 -0.020781034 0.082431335
"fBodyAcc-Y" "WALKING_UPSTAIRS" 16 -0.33791455 -0.11682879
"fBodyAcc-Y" "WALKING_UPSTAIRS" 17 -0.12656921 -0.064956279
"fBodyAcc-Y" "WALKING_UPSTAIRS" 18 -0.31183944 -0.35104028
"fBodyAcc-Y" "WALKING_UPSTAIRS" 19 0.12084256 -0.057244924
"fBodyAcc-Y" "WALKING_UPSTAIRS" 20 -0.025160507 0.28922104
"fBodyAcc-Y" "WALKING_UPSTAIRS" 21 0.11275107 0.019713392
"fBodyAcc-Y" "WALKING_UPSTAIRS" 22 0.22084688 0.36749708
"fBodyAcc-Y" "WALKING_UPSTAIRS" 23 -0.077007933 0.054278998
"fBodyAcc-Y" "WALKING_UPSTAIRS" 24 -0.31841507 -0.18633452
"fBodyAcc-Y" "WALKING_UPSTAIRS" 25 -0.38662498 -0.31284917
"fBodyAcc-Y" "WALKING_UPSTAIRS" 26 -0.21552928 0.057487852
"fBodyAcc-Y" "WALKING_UPSTAIRS" 27 -0.2133163 0.011523466
"fBodyAcc-Y" "WALKING_UPSTAIRS" 28 -0.144976 -0.22717806
"fBodyAcc-Y" "WALKING_UPSTAIRS" 29 -0.24722504 -0.29052311
"fBodyAcc-Y" "WALKING_UPSTAIRS" 30 -0.22038885 -0.080105414
"fBodyAcc-Z" "LAYING" 1 -0.90532403 -0.80187989
"fBodyAcc-Z" "LAYING" 2 -0.99727769 -0.99868059
"fBodyAcc-Z" "LAYING" 3 -0.97981533 -0.98098733
"fBodyAcc-Z" "LAYING" 4 -0.98951243 -0.98342136
"fBodyAcc-Z" "LAYING" 5 -0.99077398 -0.99335314
"fBodyAcc-Z" "LAYING" 6 -0.98097985 -0.98028107
"fBodyAcc-Z" "LAYING" 7 -0.86925538 -0.77908091
"fBodyAcc-Z" "LAYING" 8 -0.97363428 -0.95017682
"fBodyAcc-Z" "LAYING" 9 -0.96117424 -0.96187283
"fBodyAcc-Z" "LAYING" 10 -0.99266094 -0.99504347
"fBodyAcc-Z" "LAYING" 11 -0.98742274 -0.98797991
"fBodyAcc-Z" "LAYING" 12 -0.97881819 -0.95458415
